id,text,intent
1,@AmazonHelp Please can you private tweet me and I’ll send you my contact details,other_or_unclear
2,@AmazonHelp Je recois le message : mdp incorrect,account_issue
3,"@AmazonHelp the person in the amazon chat said it looks like USPS has the package already...too contact them. but according to their tracking...which again hasn't been updated since thursday...Your item was picked up by a shipping partner at 5:46 am on November 23, 2017 in RUSKIN, FL 33570.",delivery_issue
4,@AmazonHelp Thankfully it has just arrived,delivery_issue
5,@AmazonHelp Hi AP. I’ve done this responding 3 times now and I’ve gotten the exact same response. I’ve given you the order number and contact details.,complaint_escalation
6,"@AmazonHelp わざわざありがとうございます！

一応出品者へ連絡はしてみました。",seller_issue
7,@AmazonHelp Nope. I've just spoken with customer services but they can't help apart from to tell me it's late and should arrive soon... Which isn't very helpful. Maybe I should have pre-ordered somewhere else.,delivery_issue
8,@AmazonHelp Thank you amazon for taking care of this and for prompt reply. :),other_or_unclear
9,"@AmazonHelp @115850 has started selling echo series and you guys have no info yet....
it's strange.Should I buy it or not?",seller_issue
10,"@AmazonHelp Tá tudo ok , fiz ele hoje !! 😉",other_or_unclear
11,@AmazonHelp @115851 please teach some managment lesson to @115850  simply asking details multiple time...,complaint_escalation
12,"@AmazonHelp Dommage, vous pouvez compter d’avance un article égaré alors",delivery_issue
13,@AmazonHelp I have cancelled the order. No delivery attempt was made. I will happily DM the order reference etc to you.,cancellation_issue
14,@AmazonHelp I ordered an item which priced 7390 at that time which included free delivery and an exchange item but after 24 hours the price bill (1/3),payment_issue
15,@AmazonHelp  mercredi 15 novembre,other_or_unclear
16,@AmazonHelp What would be done to rectify the situation if it's not been delivered by then?.,delivery_issue
17,@AmazonHelp I didnt get an option 2 leave feedback after rhe chat. I left tracking feedback on my package and referred to the rep I spoke with.,other_or_unclear
18,@AmazonHelp Rephrase. Echo purchased in US will have similar features to one purchased in India when configured with Ind Amazon prime sub &amp; used in Ind?,prime_issue
19,@AmazonHelp @115850 wer is the solution for my query,other_or_unclear
20,@AmazonHelp Can’t. On my way to catch a flight now. Running late and without the product I needed. Not impressed. Expecting more as a prime member,delivery_issue
21,@AmazonHelp First I received this... then this lovely message.. the item is sold by amazon &amp; is still on their website for purchase. Why aren’t u guys https://t.co/5k4EymP84b,order_issue
22,@AmazonHelp It was 3rd party but I bought it with @116090 business integrity,seller_issue
23,@AmazonHelp We already have and we requested for our replacement phone to be sent via a different courier and again you're sending it by @116324 😡,delivery_issue
24,"@AmazonHelp I have, yeah. Same result. Rebooted the ipad tho and everything working ok. Unusual, because normally updates work right out of the box.",other_or_unclear
25,@AmazonHelp Oui il l’était heureusement mais il aurait pu être embarqué par n’importe qui ou abîmé ...,delivery_issue
26,@AmazonHelp That was order out for delivery on Nov 30 @ 12:11 pm...,delivery_issue
27,"@AmazonHelp C'est okay, juste un peu plus long que prévu :)",delivery_issue
28,"@AmazonHelp Ich habe als Prime-Kunde Prime-Artikel bestellt, daher denke ich, ja. Ist zum Glück nicht allzu dringend. Ich warte mal ab :)",delivery_issue
29,"@AmazonHelp They will email the courier again. Hi Alexa, why dont you employ more drivers for Christmas? Hi Alexa, who's paying the extra  postage to send presents now my delivery is 3 days overdue? Hi Alexa, Is it better to go to the high street and dump Amazon Prime?",delivery_issue
30,@AmazonHelp Limited to Non-Prime members because my Brother and one of my friend got their invitation. Both of them don't have Prime (But I Have),prime_issue
31,"@AmazonHelp Will do, not impressed by the lying of your delivery company though. It's just not on.",complaint_escalation
32,"@AmazonHelp ""this card is issued by SBI cards &amp; payment services pvt ltd "" is written on back side of the card.",payment_issue
33,"@AmazonHelp Yeah the name was left called ""spinetinglers""",other_or_unclear
34,@AmazonHelp  https://t.co/SzMTD5A5Xu,other_or_unclear
35,@AmazonHelp Thanks for https://t.co/HT5WDt5IH9 Regards,other_or_unclear
36,"@AmazonHelp I won’t lie, it’s niggles like this that make me question my prime renewal (due in ~16 days). Thanks though",prime_issue
37,@AmazonHelp Do you offer it in Maryland?,other_or_unclear
38,@AmazonHelp and conversation moves to another agent. Agents telling me they will refund me and then ending the chat. Promised 5 times someone will call me from the UK but always get Barbados call centre who have no clue about my complaint,complaint_escalation
39,@AmazonHelp I m not sure  product will be delivered today or not. Let see what is going to happen your agent will come with same old story or new story,delivery_issue
40,"@AmazonHelp on amz chat they said the product got damaged and hence got returned. So were is customer mistake here? Usually we get 3delivery attempt 
:(",delivery_issue
41,@AmazonHelp Amazon logistics 🙄 nightmare delivery,delivery_issue
42,"@AmazonHelp yeah, uh, why was i unsubscribed from",cancellation_issue
43,@AmazonHelp Solo con Correos Express. Espero que fuese solo está última vez,delivery_issue
44,@AmazonHelp But I haven’t done any of those things,order_issue
45,"@AmazonHelp Hallo, nein, das war es nicht - unten im Hauseingang lagen 5 Päckchen von 4 Parteien, davon 2 Parteien nachweislich den ganzen Nachmittag Zuhause",delivery_issue
46,@AmazonHelp claro que si :D,other_or_unclear
47,"@AmazonHelp Had a response saying within next 18-24 hours... Aaarrrrrgh!!! Why is it so difficult!?! Surely you can track where it is, and where the driver is, and what the route is.........?",delivery_issue
48,@AmazonHelp Is there any exceptions of what the credit can be used on?,payment_issue
49,@AmazonHelp Creo que por Amazon,other_or_unclear
50,@AmazonHelp Ill dm you..,other_or_unclear
51,"@AmazonHelp Just now, don't use Amazon much so didn't know the process if you don't receive an item",delivery_issue
52,"@AmazonHelp doesn't answer my question. Who cut the tree down, Jack (of the beanstalk)? Woodcutter (from Little Red Riding hood)?",other_or_unclear
53,@AmazonHelp @AmazonHelp Hi TE. What shall I do with your printer cartridge?,return_issue
54,@AmazonHelp Please make sure tomorrow it gets delivered before 12PM thanks just a humble request please.,delivery_issue
55,@AmazonHelp As of now i haven't been explained why the order wasnt delivered even today. Explanation i guess wud be 2 much to expect @115821 @115850,delivery_issue
56,"@AmazonHelp Il est bien indiqué là https://t.co/IHLVxAuAKD ?? 
Et pourtant tjrs pareil 194€",payment_issue
57,@AmazonHelp Yes,other_or_unclear
58,@AmazonHelp Thanks so much! Sending an email to report it!!!,complaint_escalation
59,@AmazonHelp over 36 hours ago.,other_or_unclear
60,@AmazonHelp you support team is helpful. The technical support team is busy and I got defective mobile. Amazon is not bothered get refund request.,refund_issue
61,"@AmazonHelp You all are trying to loot my money and not I will not let this happen, you all are the most pathetic criminals of world!",complaint_escalation
62,@AmazonHelp Can I change the delivery address. Payment failed,payment_issue
63,@AmazonHelp J’habite en seine maritime ?,other_or_unclear
64,@AmazonHelp My package didn’t show up today either... 😤 That’s 2 days late.,delivery_issue
65,"@AmazonHelp No help . 4 times contacted .By email,chat ,Twitter etc. Same answer, always,we are looking into the matter. Horrible service.",complaint_escalation
66,@AmazonHelp Nope. I didn't even know that my other bank account was linked to my amazon account?,account_issue
67,"@AmazonHelp i already filed complain but your representatives just ignoring the act and assuring me that i get my money back in my AMAZON PAY
but i cleary told them that i take money in my bank account as i dont want to purchase anything from you without my desire..dont trap ur customers",refund_issue
