id,customer_message,gold_intent,predicted_intent,reply,similarity,grounded,human_overall_score,human_notes
184,@AmazonHelp thank you,other_or_unclear,other_or_unclear,Thanks again for taking the time to report it. This will help us improve our services.,1.0,True,Appropriate response to a simple thank-you message,
154,@AmazonHelp Your Customer team did not provide any proper solution when i contacted them.,complaint_escalation,complaint_escalation,"You will receive an email correspondence from our team here: https://t.co/HObeYwFNxn
Do keep a check and you may reply to it for any further assistance.",0.501,True,Provides a clear next step and follow-up, though it could acknowledge the unresolved issue more directly.,
171,@AmazonHelp ありがとうございます！ お世話になってます。笑,other_or_unclear,other_or_unclear,嬉しいお言葉、ありがとうございます♪(*´∇｀*) どうかこれからもhttps://t.co/st4oU5QbhPをよろしくお願いいたします～♪ (*^^*),1.0,True,Friendly and appropriate response to the customer's positive message.,
146,@AmazonHelp We already have and we requested for our replacement phone to be sent via a different courier and again you're sending it by @116324 😡,delivery_issue,delivery_issue,"Thanks for confirming. As you've shared your details, we'll reach out to you soon.",0.416,True,Acknowledges the issue and promises follow-up, but does not address the courier concern specifically.,
145,"@AmazonHelp This gets fixed, or I'm gone. I'll sell off my kindle's, all 5 echo devices, etc. Avg $10K a year in purchases. Disgusting treatment.",complaint_escalation,other_or_unclear,Thank you for letting us know. I'm glad it's fixed.,0.329,True,Does not address the customer's complaint and incorrectly assumes the issue is already fixed.,
140,"@AmazonHelp all sorted now, thank you!! 😌👏",other_or_unclear,other_or_unclear,Not a problem! Let us know if you have any more questions or concerns.,1.0,True,Natural and appropriate response to a resolved issue.,
123,@AmazonHelp En mp? Je vous suis.,other_or_unclear,account_issue,"Entiendo, en este caso los únicos cupones que puedes utilizar, son los que aparecen en la página web.",0.439,True,The reply is unrelated to the customer's message.,
181,@AmazonHelp It has not arrived yet. It was suppose to arrive today by 8pm.,delivery_issue,delivery_issue,I'm sorry you're having trouble with your delivery. Please contact Amazon Customer Service through phone or chat so they can check the latest delivery status of your order.,0.53,False,Gives a reasonable next step for a delayed delivery, but is somewhat generic.,
111,@AmazonHelp It was very shocking to know that even you don't know the status of my product !,order_issue,account_issue,its our names,0.465,True,The response is unrelated and does not address the product-status concern.,
101,@AmazonHelp I have replied ur email and give u last warning to you return my money immediately! You fuckers ! Buch of criminals!,refund_issue,complaint_escalation,Thank you for that information! A member of our team will be reaching out to you soon.,0.425,True,Acknowledges the information and provides a clear escalation/follow-up action.,
119,"@AmazonHelp Pas d'avis de passage, pas sonné, pas même venu dans le quartier ! Etant donné que j'ai déjà demandé à Amazon de ne pu utilisé ce transporteur car probleme récurent, que faut il faire pour être livré a l'heure en Premium...",delivery_issue,other_or_unclear,I'm sorry you're having trouble with your delivery. Please contact Amazon Customer Service through phone or chat so they can check the latest delivery status of your order.,0.264,False,The reply is generic and does not address the repeated delivery and courier concerns.,
131,@AmazonHelp @13150 @115850 @117795#no update#noresolution more than#70 hours over.#customer care r dumb.when #saynotoamazon,complaint_escalation,other_or_unclear,"I get you being disappointed, Sisir. As you've shared your details, our team will check and get back to you with an update soon. Request you to wait.",0.344,True,Acknowledges the frustration and provides a follow-up path, although asking the customer to wait is not ideal.,
174,@AmazonHelp At this point I want a new shipment of product via FedEx Express overnight.,delivery_issue,delivery_issue,I'm sorry you're having trouble with your delivery. Please contact Amazon Customer Service through phone or chat so they can check the latest delivery status of your order.,0.265,False,Does not address the request for an overnight FedEx replacement specifically.,
134,@AmazonHelp Of course,other_or_unclear,other_or_unclear,Because of the restricted functionality we don't shop the Echo to Poland. The,0.565,True,The reply is incomplete and does not clearly address the customer's message.,
191,@AmazonHelp Vuestra solución es que llame yo a mis vecinos puerta por puerta... Como si eso fuera tarea mia o como si nadie fuera amigo de lo ajeno. Es ridiculo! Tenéis repartidores que dejan los paquetes sin decir dónde y encima no hay manera de localizarlos. Que vergüenza de servicio!,delivery_issue,other_or_unclear,"Abner, ¿podrías confirmarnos si en el correo que recibiste indicaba instrucciones para recuperar el acceso a tu cuenta?",0.317,True,Completely unrelated to the customer's delivery complaint.,
105,"@AmazonHelp That’s what I got, but when I turned it on to get started it said I get 1 month free and then charged 2.99 for one kid profile.",payment_issue,delivery_issue,You can find our coupons here: https://t.co/3neXMKJmC3,0.366,True,Does not address the unexpected charge and gives irrelevant coupon information.,
177,@AmazonHelp I'm not getting any emails or updates from Amazon support. Useless service. After repeated follow ups gets single reply to wait,complaint_escalation,delivery_issue,I'm sorry you're having trouble with your delivery. Please contact Amazon Customer Service through phone or chat so they can check the latest delivery status of your order.,0.295,False,The reply is about delivery even though the customer is complaining about repeated support follow-ups and missing updates.,
178,"@AmazonHelp Yes, and the app told me it was going to be there by 8, until after 8.  Then it was pushed back two days.   That tells anyone with a brain that your app shouldn’t be telling people that",delivery_issue,delivery_issue,"We'd like to look into that with you in real time, Jennifer, and see what options we have. When you can, please give us a call or chat in here: https://t.co/hApLpMlfHN",0.349,True,Relevant response that offers real-time assistance, although it does not directly address the app's incorrect delivery estimate.,
