topic,text
delivery,@AmazonHelp The estimated date was today but now it says.   ‘ Delivery date pending’
delivery,@AmazonHelp I was told the earliest would be tomorrow. If I’d known you wouldn’t follow my instructions I would have gone for shop/ locker delivery
delivery,"@AmazonHelp on amz chat they said the product got damaged and hence got returned. So were is customer mistake here? Usually we get 3delivery attempt 
:("
delivery,"@AmazonHelp At checkout, delivery was supposed to be Saturday, Nov 25. Yesterday, I️t said out for delivery. I️ got an email at 4:45 that showed an attempted delivery at 12:48, but was at home all day and, never saw anyone making deliveries. Now there is no est. delivery time on package"
delivery,@AmazonHelp I ordered an item which priced 7390 at that time which included free delivery and an exchange item but after 24 hours the price bill (1/3)
delivery,"@AmazonHelp They will email the courier again. Hi Alexa, why dont you employ more drivers for Christmas? Hi Alexa, who's paying the extra  postage to send presents now my delivery is 3 days overdue? Hi Alexa, Is it better to go to the high street and dump Amazon Prime?"
delivery,@AmazonHelp No email regarding delay. The tracker ID says it was out for delivery today. But will now be tomorrow. Whenever it is it's too late. As the original stated delivery date was Friday 24th.
delivery,"@AmazonHelp BUT THIS ORDER WAS NOT CANCELED BY ME OR ANYTHING , 
THIS IS YOUR PERSONAL PROBLEM AND YOU ARE NOT INFORM ME OR CALL ME , 
HOW CAN I GET ANY INFO. ABOUT MY PRODUCT , ON LAST DAY OF DELIVERY I FOUND MY PRE-PAID ORDER IS GET BACK TO SELLER .

I WANT MY PRODUCT ASAP. NO EXCESSES"
delivery,@AmazonHelp Why did I pay extra and why do you advertise it as a guaranteed 2 day delivery? Mis leading advertisement and fake promises. https://t.co/0baDW45Qs3
delivery,@AmazonHelp @577875 Same happened with me for one plus five delivery from Amazon is turning worst...
refund,@AmazonHelp When I will get my refund. Amazon has promised. I want an update now
refund,@AmazonHelp and conversation moves to another agent. Agents telling me they will refund me and then ending the chat. Promised 5 times someone will call me from the UK but always get Barbados call centre who have no clue about my complaint
refund,@AmazonHelp you support team is helpful. The technical support team is busy and I got defective mobile. Amazon is not bothered get refund request.
refund,@AmazonHelp It only offers me an option for a refund. I just want to send this back and get the right item sent to me.
refund,"@AmazonHelp Yes
I have 
Your Executive told me that we can't replace, we will refund the money back.
And said that's the last escalation
Help me"
refund,@AmazonHelp I have reported my complaint already.. 2 days ago. But no response from ur side. I'm not expecting this. Pls refund my amount as soon as possible. I would prefer another service provider
refund,"@AmazonHelp Just a refund, which has landed me in the position of trying to send the TV back without the original box."
refund,"@AmazonHelp ""Dream"" or nightmare? goes on: Got told to re-order for the delivery which is stated as delivered &amp; never did &amp; that I will be refunded. Then talks with @115821 Jamaika &amp; Cape Town with info to wait for 72hours now &amp; they cannot refund + police report needed #CustomerExperience"
refund,@AmazonHelp Well the items are.. I was also offered a refund so  I can reorder it from the davenport center (FL) according to a super visor. She stated it may be a day faster but she couldn't promise anything. So I didnt worry about making it more difficult. So it's  clear they have it.
refund,@AmazonHelp how can you refund back to an account that doesn't exist?!
return,@AmazonHelp mujhe mere prime k paise return karo. Koi need nhi h mujhe if u can't keep ur words.
return,@AmazonHelp Pick up is not yet scheduled. Tomorrow is last day for return. Pls help
return,"@AmazonHelp on amz chat they said the product got damaged and hence got returned. So were is customer mistake here? Usually we get 3delivery attempt 
:("
return,"@AmazonHelp I returned an item via @149473 , your customer executive​ thinks I have sent a doctored recipient as return charges are very high"
return,@AmazonHelp I expect return ASAP.
return,@AmazonHelp See I am not able to fill this form!without even giving a reason you hav not delivered my order and now  not returning my money!
return,@AmazonHelp returning charge will cost me more than buying tht missing part or may be more than product itself.. thanks anyway.(1/2)
return,@AmazonHelp I have replied ur email and give u last warning to you return my money immediately! You fuckers ! Buch of criminals!
return,@AmazonHelp I did. Finally resolved after jerking me and UPS around - supervisor stating they UPS could return which they couldn’t. (Its “iain” btw).
return,"@AmazonHelp I don’t know as since starting the return process I can no longer track it myself.
I just want my money back for the item I never received. I don’t understand why this is so difficult."
prime,"@AmazonHelp I have sent an email - I am disappointed that I have been lied to, it makes a mockery of paying for Prime membership."
prime,@AmazonHelp mujhe mere prime k paise return karo. Koi need nhi h mujhe if u can't keep ur words.
prime,@AmazonHelp Rephrase. Echo purchased in US will have similar features to one purchased in India when configured with Ind Amazon prime sub &amp; used in Ind?
prime,@AmazonHelp Nothing to do with getting it gift wrapped. Just for it to be delivered in the condition it left your warehouse and not have stickers that won’t peel off without ripping the surface would be nice. It hardly arrived in the ‘Prime’ condition I usually expect of you.
prime,"@AmazonHelp Não, vem como AmazonPrime Membership. Só que eu cancelei após a trial e ainda recebi o e-mail de vocês confirmando o cancelamento. Agora vi que foi cobrado em outubro e hoje novamente."
prime,"@AmazonHelp They will email the courier again. Hi Alexa, why dont you employ more drivers for Christmas? Hi Alexa, who's paying the extra  postage to send presents now my delivery is 3 days overdue? Hi Alexa, Is it better to go to the high street and dump Amazon Prime?"
prime,"@AmazonHelp Yes, however it now won’t arrive in time. Very disappointed. Subscribe to Prime so a 5 day delay with no apology or email is hardly acceptable."
prime,"@AmazonHelp Orders are always messed up. I order 3 qty of an item, and ea is shipped separately, on different days. Who does that? Prime is not worth it"
prime,"@AmazonHelp Ich habe als Prime-Kunde Prime-Artikel bestellt, daher denke ich, ja. Ist zum Glück nicht allzu dringend. Ich warte mal ab :)"
prime,"@AmazonHelp @128308 m tlkng abt 1. havng #SwitchOffFacility voice/Button2. making voice search across all apps &amp; not jst to #amazonprimeHome"
payment,@AmazonHelp The card was not declined.. you have charged my card but stating payment failure
payment,@AmazonHelp Can I change the delivery address. Payment failed
payment,"@AmazonHelp ""this card is issued by SBI cards &amp; payment services pvt ltd "" is written on back side of the card."
seller,"@AmazonHelp Nein, ich möchte das #seller Konto nun löschen, da ich keine zweite Telefonnummer einzutragen bereit bin. Und ihre verifizierungsmethoden für bedenklich halte. War das jetzt verständlich, @116316?"
seller,"@AmazonHelp BUT THIS ORDER WAS NOT CANCELED BY ME OR ANYTHING , 
THIS IS YOUR PERSONAL PROBLEM AND YOU ARE NOT INFORM ME OR CALL ME , 
HOW CAN I GET ANY INFO. ABOUT MY PRODUCT , ON LAST DAY OF DELIVERY I FOUND MY PRE-PAID ORDER IS GET BACK TO SELLER .

I WANT MY PRODUCT ASAP. NO EXCESSES"
seller,@AmazonHelp Some Help?  I'm being told to buy from another seller.  Thought you stood behind your products @115821 https://t.co/b520YmJVVt
seller,@AmazonHelp The item was from a third party seller but shipped with post it notes sold by you. We got the post its but there was no pin backs in the box
account,@AmazonHelp Nope. I didn't even know that my other bank account was linked to my amazon account?
account,@AmazonHelp I'm not the account holder attached to it so apparently no one can help me.
account,@AmazonHelp How to check that???? While i an not a spammer i think my account was spammed
account,@AmazonHelp I don’t have a username and password because I don’t even have an account? Is there another way I can contact you
account,@AmazonHelp already communicate me. and I did not get any answer .. I need to unlock the account so that my orders are released. Does anyone speak Spanish?
account,"@AmazonHelp ""We are unable to validate the Gift card / Voucher code you have entered. Please recheck the Gift card / Voucher code before trying to add it again in your account.""

By the way, this happened to my four different codes. What can be the problem"
account,"@AmazonHelp I mean I guess I’ll try calling again, because the first two times no help was offered other than a “promo” to my account."
account,@AmazonHelp I have been telling repeatedly that my account was compromised and when I tried to gain access it was already blocked. I don't have the email of the account at the moment so to whom &amp; what to reply. But my 30k mobile is now a waste because of a invoice. Please help &amp; give invoice
account,@AmazonHelp thanks for your reply. I'm thinking about linking the dot to a different not unlimited account in the meantime. I don't really see the need for the family so far.
account,"@AmazonHelp Yes, and it logged me into my account. I browse audiobooks but when I go to checkout there are no credits. https://t.co/FEEbDo2kPC"
complaint,@AmazonHelp and conversation moves to another agent. Agents telling me they will refund me and then ending the chat. Promised 5 times someone will call me from the UK but always get Barbados call centre who have no clue about my complaint
complaint,@AmazonHelp Plz check __email__ amazon id...Complaint is registered..he gifted me a gift card which is not working... @510903 ...U guys don't care for ur customer..I just spent 30 mins explaining same to ur customer rep over chat as well
complaint,"@AmazonHelp I talk to your CS people, I fill out complaint forms and it gets worse. I feel like every time this happens we start over with new problems."
complaint,@AmazonHelp I have reported my complaint already.. 2 days ago. But no response from ur side. I'm not expecting this. Pls refund my amount as soon as possible. I would prefer another service provider
complaint,@AmazonHelp Secondly your email is only a copy of the complaint I have lodged with your customer care. What reply is expected - u r only harassing me
cancel,@AmazonHelp Hi TD. I’ve placed the order three times. It’s been cancelled every time 😭
cancel,"@AmazonHelp Não, vem como AmazonPrime Membership. Só que eu cancelei após a trial e ainda recebi o e-mail de vocês confirmando o cancelamento. Agora vi que foi cobrado em outubro e hoje novamente."
cancel,"@AmazonHelp Pero no puedo cancelarlo si se ha enviado, el problema es el servicio de mensajería en este caso @80 no cumple! Ya no necesito el producto"
cancel,"@AmazonHelp BUT THIS ORDER WAS NOT CANCELED BY ME OR ANYTHING , 
THIS IS YOUR PERSONAL PROBLEM AND YOU ARE NOT INFORM ME OR CALL ME , 
HOW CAN I GET ANY INFO. ABOUT MY PRODUCT , ON LAST DAY OF DELIVERY I FOUND MY PRE-PAID ORDER IS GET BACK TO SELLER .

I WANT MY PRODUCT ASAP. NO EXCESSES"
cancel,@AmazonHelp see if they could help but she did not understand at all what i was asking and didn’t cancel the replacement request
cancel,@AmazonHelp I have cancelled the order. No delivery attempt was made. I will happily DM the order reference etc to you.
credit,@AmazonHelp Is there any exceptions of what the credit can be used on?
credit,"@AmazonHelp Yes, and it logged me into my account. I browse audiobooks but when I go to checkout there are no credits. https://t.co/FEEbDo2kPC"
credit,@AmazonHelp Right. I’ve been through this over and over again via chat and phone customer service agents. Nothing changes and I never have my actual issue solved; which is how Amazon handles problems. That support system isn’t designed to help beyond apologizing and issuing credits.
