customer_tweet_id,customer_text,amazon_response
105256,"@AmazonHelp Alles klar, danke!",@139244 Gerne! :) ^SI
74573,"@AmazonHelp Chegando em casa, mandarei!","@132705 Huor, estaremos aguardando ansiosamente! ❤ ^DA"
1265137,@AmazonHelp Si han concertado una entrega mañana por k según @135806  hoy no se ha realizado por no poder ponerse en contacto conmigo FALSO,"@405207 Comprendo, Sandra. Puedes dejar tus comentarios al respecto aquí: https://t.co/R2bbtV09QK. Mantennos al tanto de la entrega. ^LG"
975692,@AmazonHelp Its saying connecting a call to u bt I didn’t receive any call.,@351387 I'm sorry for that. Please try to reach out to us using the link mentioned above via chat/email and we'll help you out. ^AU
331967,@AmazonHelp (1/2)kindly provide contact no./address of your delivery person. Or else I have to cancel the order by today evening.(cont..),"@195051 As this is a social media platform, we can't view your order details. Hence, please send your details from the link (1/2)^HR"
2301360,@AmazonHelp No I was not.,"@667906 I'm sorry for the delay with your order! We don't have account access via Twitter, but we'd like to take a look with you in real-time: https://t.co/hApLpMlfHN

You can reach us via chat or phone. Let us know if there's anything further we can try to help with. ^KN"
1600148,@AmazonHelp M not interested in email replies. Do let me know the date when product will be delivered.else cancel the order n refund the money.,"@491340 Hence, I request to reply to the email sent to you by our team for further assistance. 2/2 ^PJ"
1396139,"@AmazonHelp Vous le trouvez endommagé ? Aller dire donc ça au mur qui prend très chère ! (il a un arbre à chat, mais il l'utilise pas) https://t.co/KByBYhImQP",@444665 Il ne doit pas être en bonne humeur tout le temps ou bien il n'aime pas la couleur  😂 ^MA
1314630,"@AmazonHelp There is no update from you guys at all, please tell me whether you people will resolve it or not?",@427126 I see our team have responded to you earlier. Check it here: https://t.co/8DAc10S7ww and reply to the same email for help. ^RS
1421226,@AmazonHelp Now u guys have time till tomorrow. Either give me an update or prepare yourself for a lawsuit!,@450380 I understand it is taking time but the only way for us to assist you is if you respond to the email sent to you. ^PB (1/2)
