thread_id,tweet_id,created_at,text
58773,58776,2017-11-02 17:51:06+00:00,"@AmazonHelp Had a response saying within next 18-24 hours... Aaarrrrrgh!!! Why is it so difficult!?! Surely you can track where it is, and where the driver is, and what the route is.........?"
294267,294295,2017-10-20 16:16:03+00:00,@AmazonHelp Is there anything else you say?
981998,981999,2017-10-24 17:02:14+00:00,@AmazonHelp Thanks for https://t.co/HT5WDt5IH9 Regards
1049399,1049406,2017-10-23 08:21:49+00:00,@AmazonHelp Very fraud i will say that do not buy from amazon
500751,500755,2017-12-02 10:30:07+00:00,"@AmazonHelp I have sent an email - I am disappointed that I have been lied to, it makes a mockery of paying for Prime membership."
1476894,1476892,2017-11-02 23:00:30+00:00,@AmazonHelp Sent. Thanks a bunch!
1689501,1689503,2017-11-06 20:32:37+00:00,@AmazonHelp Letgo :-)
508183,508182,2017-12-01 21:52:22+00:00,"@AmazonHelp Es un vendedor externo. El nombre es ""Rivalty""."
1456343,1456342,2017-11-02 19:44:54+00:00,"@AmazonHelp Service client téléphonique incompétent, mail de réclamation fait, premium résilié"
180857,180793,2017-10-04 17:36:53+00:00,@AmazonHelp @115851 please teach some managment lesson to @115850  simply asking details multiple time...
1605129,1605128,2017-11-05 01:59:28+00:00,@AmazonHelp There is. But I don’t understand how it could have been in transit and now I may not get it for a couple days.
877018,877019,2017-10-13 18:30:53+00:00,@AmazonHelp Is there any exceptions of what the credit can be used on?
1461592,1461593,2017-11-02 18:32:34+00:00,@AmazonHelp mujhe mere prime k paise return karo. Koi need nhi h mujhe if u can't keep ur words.
1070001,1070005,2017-10-23 16:11:23+00:00,@AmazonHelp Details sent
1496604,1496605,2017-11-03 12:34:18+00:00,@AmazonHelp  https://t.co/GDLCrBnFe5
2318997,2319001,2017-11-13 12:30:46+00:00,@AmazonHelp Actually I hv ordered this product for gifting someone . You know how it feels if it was delivered like this .That is why I am requesting to deliver it little urgent I have followed all your norms also.
2919930,2919929,2017-11-29 00:52:38+00:00,@AmazonHelp Carrier is AMZCA
1212700,1212710,2017-10-28 11:34:49+00:00,@AmazonHelp “I am Sajjad from Social Media Escalation Team”. This man wrote a mail with fake promises are you a company of fake people. Just getting horrible day by day. I don’t need apology I want my money back.
493279,493280,2017-12-01 17:43:34+00:00,@AmazonHelp Thanks so much! Sending an email to report it!!!
138092,138093,2017-11-24 14:31:36+00:00,@AmazonHelp The estimated date was today but now it says.   ‘ Delivery date pending’
2052257,2052258,2017-10-19 22:28:57+00:00,@AmazonHelp Mira te quiero me gusta mucho el móvil xddd
2766966,2766967,2017-11-21 10:52:16+00:00,@AmazonHelp I already did that 3 days ago and therefore escalating it via you.
570814,570818,2017-12-03 20:28:50+00:00,@AmazonHelp Ill dm you..
1771723,1771718,2017-11-11 10:16:43+00:00,@AmazonHelp Hi TD. I’ve placed the order three times. It’s been cancelled every time 😭
2756048,2756043,2017-11-21 02:47:47+00:00,@AmazonHelp Check the case logs. I've been trying to get a resolution for the past week. What else you need??
283085,283533,2017-10-06 13:28:18+00:00,@AmazonHelp I've already filled this form yesterday and haven't been contacted by you yet so what's the need to do it again? Filled it again though -.-
442798,442788,2017-11-22 09:29:43+00:00,@AmazonHelp https://t.co/VahMoItJxe
1736146,1736141,2017-11-07 14:19:28+00:00,@AmazonHelp I was told the earliest would be tomorrow. If I’d known you wouldn’t follow my instructions I would have gone for shop/ locker delivery
133810,133806,2017-11-23 07:16:29+00:00,@AmazonHelp The card was not declined.. you have charged my card but stating payment failure
1212700,1212712,2017-10-31 12:00:50+00:00,@AmazonHelp When I will get my refund. Amazon has promised. I want an update now
275202,275203,2017-10-06 06:37:56+00:00,@AmazonHelp Rephrase. Echo purchased in US will have similar features to one purchased in India when configured with Ind Amazon prime sub &amp; used in Ind?
2930638,2930640,2017-11-29 11:24:59+00:00,@AmazonHelp @810672 I have the same email for Spain...I only can say bye bye...
384147,384148,2017-10-09 11:52:33+00:00,@AmazonHelp Where would it say?
635692,635690,2017-11-22 17:09:53+00:00,"@AmazonHelp Hallo, nein, das war es nicht - unten im Hauseingang lagen 5 Päckchen von 4 Parteien, davon 2 Parteien nachweislich den ganzen Nachmittag Zuhause"
2281393,2281392,2017-11-26 15:47:05+00:00,"@AmazonHelp Hallo. Danke für die Info, aber ich hab die Rücksendung natürlich schon beantragt und als Begründung auch alles Nötige dazu geschrieben. Wollte das aber trotzdem nochmal tweeten um mir etwas Luft zu machen und vor dem Ding zu warnen, grad Kinder sind in Gefahr in diesem Fall."
2408711,2408715,2017-11-15 16:56:36+00:00,@AmazonHelp Yesterday.
1983544,1983548,2017-10-19 14:53:17+00:00,@AmazonHelp Of course
1532969,1532967,2017-11-04 18:01:29+00:00,@AmazonHelp That worked! Thanks so much.
180519,180513,2017-10-04 12:43:23+00:00,"@AmazonHelp Didn't receive a reply first time around, resent recently."
947320,947321,2017-11-25 17:17:12+00:00,@AmazonHelp Nope. I didn't even know that my other bank account was linked to my amazon account?
2690660,2690661,2017-11-19 16:24:04+00:00,@AmazonHelp Any way to get in contact with the driver
1604495,1604496,2017-11-05 08:46:18+00:00,"@AmazonHelp Das war Ironie, aber trotzdem danke. 😄"
2700796,2700800,2017-11-19 21:15:29+00:00,@AmazonHelp massive help that is too thanks for nothing.. just proves my point that amazon case about one thing only and that isnt the customer.
93697,93698,2017-11-30 16:08:05+00:00,@AmazonHelp Nothing to do with getting it gift wrapped. Just for it to be delivered in the condition it left your warehouse and not have stickers that won’t peel off without ripping the surface would be nice. It hardly arrived in the ‘Prime’ condition I usually expect of you.
277592,277593,2017-10-06 12:46:20+00:00,"@AmazonHelp いつも利用させてもらってます！！！！
楽しみに待ってます✨
わざわざ挨拶ありがとうございます^ ^"
415132,415133,2017-10-10 15:37:53+00:00,@AmazonHelp I just wanted the $100+ gift I ordered to be delivered in time for the recipients bday. Which has now come and gone.
1253877,1253878,2017-10-17 03:26:54+00:00,"@AmazonHelp わざわざありがとうございます！
そうです！近づいてからご連絡いただけるんですね！！初めてで慣れておらず、わからなかったところを助けていただきありがとうございます🙇
ご丁寧にありがとうございます！リンク見て見ます！"
2503614,2503615,2017-11-15 20:43:01+00:00,@AmazonHelp I'm being transferred to CSR #6 (a supervisor) now. Hoping for the best!
889427,889405,2017-10-20 23:55:00+00:00,"@AmazonHelp This gets fixed, or I'm gone. I'll sell off my kindle's, all 5 echo devices, etc. Avg $10K a year in purchases. Disgusting treatment."
49965,49972,2017-11-03 10:15:26+00:00,@AmazonHelp I'm not getting any emails or updates from Amazon support. Useless service. After repeated follow ups gets single reply to wait
1386490,1386489,2017-10-31 20:44:52+00:00,@AmazonHelp Rien de particulier hormis « Livraison prévue aujourd’hui avant 20h »
812452,812458,2017-11-26 11:21:44+00:00,@AmazonHelp Pick up is not yet scheduled. Tomorrow is last day for return. Pls help
1194325,1194322,2017-10-16 00:06:13+00:00,@AmazonHelp No it did ask my social media name that’s all
2711801,2711803,2017-11-20 03:55:58+00:00,@AmazonHelp It was a survey for the new The Tick show.
1098566,1098561,2017-10-16 00:57:48+00:00,@AmazonHelp Walk me through it: on this IPhone remote controller- what do I press to get rid of the orange magnifier border? https://t.co/hitUfDx3FY
2488925,2488921,2017-11-26 19:33:16+00:00,"@AmazonHelp Il est bien indiqué là https://t.co/IHLVxAuAKD ?? 
Et pourtant tjrs pareil 194€"
1384264,1384268,2017-10-28 09:01:09+00:00,@AmazonHelp Hablamos de Sevilla capital...
2827669,2827675,2017-11-27 16:39:36+00:00,"@AmazonHelp @787586 Who will take responsibility of this kind of blunder???
It seems lots of sentiment involved at the time of ordering as it was for very special occasion"
719896,719901,2017-10-11 02:33:04+00:00,@AmazonHelp I can't find anything you're talking about. A simple reply with 1 (888) 280-4331 would be nice as I had to google that. Fixed now.
2886488,2886505,2017-11-28 14:55:10+00:00,"@AmazonHelp On tourne en rond là, car comme je vous l'ai dit, j'ai déjà 2 comptes aujourd'hui et je n'ai jamais voulu créer de 2ème compte :)"
2261674,2261677,2017-10-20 05:37:58+00:00,@AmazonHelp I can not understand you over Twitter. Please contact me for better understanding. Kindly contact me @91480
980489,980490,2017-10-20 11:52:27+00:00,@AmazonHelp @352476 UPS  à Marseille c'est le même problème
1955941,1955942,2017-10-18 20:40:29+00:00,@AmazonHelp Called c/s Andrew took care of thank you!
2468636,2468638,2017-11-21 15:10:44+00:00,"@AmazonHelp on amz chat they said the product got damaged and hence got returned. So were is customer mistake here? Usually we get 3delivery attempt 
:("
111957,111956,2017-11-23 20:08:47+00:00,@AmazonHelp I'm not the account holder attached to it so apparently no one can help me.
713344,713345,2017-10-11 12:45:50+00:00,"@AmazonHelp Mensaje recibido, esperaré pues. Muy amables 😘"
1408075,1408095,2017-10-29 19:02:56+00:00,@AmazonHelp Why should the customer wait all the time.
2171005,2171004,2017-11-09 11:52:52+00:00,@AmazonHelp UK site it’s not the first time it’s happened
244942,244943,2017-10-05 15:06:54+00:00,"@AmazonHelp @115850 has started selling echo series and you guys have no info yet....
it's strange.Should I buy it or not?"
1082198,1082203,2017-10-23 20:51:05+00:00,"@AmazonHelp Sony Bravia 4K, Baujahr ende 2016"
78837,78839,2017-11-30 12:37:09+00:00,@AmazonHelp and conversation moves to another agent. Agents telling me they will refund me and then ending the chat. Promised 5 times someone will call me from the UK but always get Barbados call centre who have no clue about my complaint
1325869,1325870,2017-10-16 12:25:32+00:00,@AmazonHelp Lets prove you are a good e commerce brand &amp; award winning customer support team.Lets discuss in public. I don't mind sharing my details.1/2
2548,2543,2017-10-31 23:17:22+00:00,"@AmazonHelp Just now, don't use Amazon much so didn't know the process if you don't receive an item"
1146963,1146964,2017-10-24 21:17:02+00:00,@AmazonHelp Je recois le message : mdp incorrect
644802,644807,2017-11-22 18:48:45+00:00,@AmazonHelp I've done it where you can drop it off to a local shop but to see the address of the one closest is in possible as the map is not working. Would you tell me the closest one if I send you my postcode??
298993,298994,2017-10-06 21:27:51+00:00,@AmazonHelp I've had a ^BV and a ^JD and a ^JE and a pathetic lady on the phone so far. https://t.co/C2SulJbOD6
99760,99761,2017-11-30 19:12:57+00:00,@AmazonHelp Oui il l’était heureusement mais il aurait pu être embarqué par n’importe qui ou abîmé ...
2967784,2967785,2017-11-29 23:34:44+00:00,@AmazonHelp claro que si :D
836162,836164,2017-10-13 09:15:01+00:00,@AmazonHelp you support team is helpful. The technical support team is busy and I got defective mobile. Amazon is not bothered get refund request.
932721,932722,2017-10-21 18:08:02+00:00,"@AmazonHelp No help . 4 times contacted .By email,chat ,Twitter etc. Same answer, always,we are looking into the matter. Horrible service."
343871,1434961,2017-11-04 14:33:15+00:00,@AmazonHelp All the concerns are unanswered
2636861,2636862,2017-11-17 20:28:50+00:00,@AmazonHelp I don’t think so 🤦🏻‍♀️.
